bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,tags
19580,Shadowland,Peter-Straub,3.91,0425188221,9780425188224,eng,468,10293,253,3/4/2003,Berkley,19580 shadowland peter-straub 3.91 0425188221 9780425188224 eng 468 10293 253 3/4/2003 berkley
19581,Ghost-Story,Peter-Straub,3.95,0671685635,9780671685638,eng,567,61330,1520,9/1/1989,Pocket-Books-/-Simon-&-Schuster--Inc.,19581 ghost-story peter-straub 3.95 0671685635 9780671685638 eng 567 61330 1520 9/1/1989 pocket-books-/-simon-&-schuster--inc.
19587,Territoires-(Le-talisman-des-territoires--#2),Stephen-King/Peter-Straub/Bernard-Cohen,4.01,2221093836,9782221093832,fre,556,18,1,10/21/2002,Laffont,19587 territoires-(le-talisman-des-territoires--#2) stephen-king/peter-straub/bernard-cohen 4.01 2221093836 9782221093832 fre 556 18 1 10/21/2002 laffont
19593,Floating-Dragon,Peter-Straub,3.84,0425189643,9780425189641,eng,595,10727,140,8/5/2003,Berkley,19593 floating-dragon peter-straub 3.84 0425189643 9780425189641 eng 595 10727 140 8/5/2003 berkley
19595,The-Color-of-Water:-A-Black-Man's-Tribute-to-His-White-Mother,James---McBride,4.09,159448192X,9781594481925,en-US,328,1597,157,2/7/2006,Riverhead-Books,19595 the-color-of-water:-a-black-man's-tribute-to-his-white-mother james---mcbride 4.09 159448192x 9781594481925 en-us 328 1597 157 2/7/2006 riverhead-books
19596,Color:-A-Natural-History-of-the-Palette,Victoria-Finlay,3.78,0812971426,9780812971422,en-US,464,61033,558,12/30/2003,Random-House-Trade-Paperbacks,19596 color:-a-natural-history-of-the-palette victoria-finlay 3.78 0812971426 9780812971422 en-us 464 61033 558 12/30/2003 random-house-trade-paperbacks
19599,Vincent's-Colors,Vincent-van-Gogh/Metropolitan-Museum-of-Art/William-Lach,4.16,0811850994,9780811850995,eng,48,329,49,9/29/2005,Chronicle-Books,19599 vincent's-colors vincent-van-gogh/metropolitan-museum-of-art/william-lach 4.16 0811850994 9780811850995 eng 48 329 49 9/29/2005 chronicle-books
19605,Flinx's-Folly-(Pip-&-Flinx-#9),Alan-Dean-Foster,3.94,0345450396,9780345450395,eng,288,1755,21,9/28/2004,Del-Rey,19605 flinx's-folly-(pip-&-flinx-#9) alan-dean-foster 3.94 0345450396 9780345450395 eng 288 1755 21 9/28/2004 del-rey
19608,The-Doctor's-House,Ann-Beattie,2.96,0743235010,9780743235013,eng,288,164,23,2/11/2003,Scribner,19608 the-doctor's-house ann-beattie 2.96 0743235010 9780743235013 eng 288 164 23 2/11/2003 scribner
19610,Chilly-Scenes-of-Winter,Ann-Beattie,3.91,0679732349,9780679732341,en-GB,288,1045,100,1/2/1991,Vintage,19610 chilly-scenes-of-winter ann-beattie 3.91 0679732349 9780679732341 en-gb 288 1045 100 1/2/1991 vintage
19613,What-Life-Was-Like-in-the-Realm-of-Elizabeth:-England--AD-1533-1603-(What-Life-Was-Like),Time-Life-Books,3.72,0783554567,9780783554563,eng,144,59,7,5/24/1999,Time-Life-Medical,19613 what-life-was-like-in-the-realm-of-elizabeth:-england--ad-1533-1603-(what-life-was-like) time-life-books 3.72 0783554567 9780783554563 eng 144 59 7 5/24/1999 time-life-medical
